Bordcode,foto,betekenis,toepassing,folie < 2x2,afmeting uitz,afmeting beb kom,afmeting < 2x2,afmeting > 2x2,afstand,opstelhoogte normaal,opstelhoogte beb kom-parkeerplaats,opstelhoogte boven rijweg,opmerking
IE1,,Parkeren uitsluitend voor lichte vrachtauto's en vrachtauto's waarvan de parking beveiligd is,Om aan te duiden dat enkel het parkeren van lichte vrachtauto’s en vrachtauto’s toegelaten is,1,400x600,,600x900,,Op de plaats waar de toelating tot parkeren begint,,2100,,
IF01,,Voetgangersoversteken buiten verkeerslichten met tramsporen,Om aan te duiden dat de tram voorrang heeft wanneer de voetganger de tramsporen wil kruisen. Deze tramsporen kunnen gelegen zijn in de rijbaan of in een eigen bedding.,1,,400x600,400x600,,"Wordt geplaatst op het voetpad, rechts van de oversteek",1500,,,Wordt steeds dubbelzijdig uitgevoerd zodat het steeds zichtbaar is vanaf de overkant. Zie dienstorder MOW/AWV/2016/1
IF02,,"Vluchthavens naast autosnelwegen, achter de bestaande pechstroken",Om een vluchthaven aan te duiden,2,,,600x400,900x600,Wordt geplaatst wanneer vluchthaven begint + aankondiging op 300m.,1000,,,"Mogelijk onderbord: Type Ia, Zie Dienstorder LIN/AWV 2001/1"
IF03,,"SAVE-Bord, gedenkborden voor verongelukte kinderen",,1,,900x600,900x600,,Ter hoogte van het ongeluk,1000,1000,,"Max 10 jaar, niet op A-wegen. Zie dienstorder LIN/AWV 2006/2"
IF04a,,Aankondiging vaste snelheidscamera,Aankondigingsbord van een onbemande snelheidscamera op autosnelwegen,1,,,,1300x900,,1500,,,Zie Dienstorder MOW/AWV/2009/11
IF04b,,Aankondiging vaste snelheidscamera,Aankondigingsbord voor een specifiek traject met onbemande snelheidscamera's,1,,,1700x1100,1700x1100,Ter hoogte van een traject met snelheidscamera's,1500,2100,,"Geen bord plaatsen bij individuele snelheidscamera's, enkel op trajecten met minstens 3 snelheidscamera's. Zie Dienstorder MOW/AWV/2009/11"
IF04c,,Aankondiging trajectcontrole,Aankondigingsbord van een trajectcontrole op autosnelwegen,1,,,,1700x1100,,1500,2100,,Enkel op autosnelwegen. Zie dienstorder MOW/AWV/2015/??
IF04d,,Snelheidssensibiliseringsbord,Infobord voor aanduiding van het aantal snelheidsovertredingen tijdens een bepaalde periode.,1,,1750x2000,1750x2000,1750x2000,,1500,2100,,MOW/AWV/2015/??
IF05,,Trajectbevestigingsbord,Wordt geplaatst om een routebevestiging te geven aan de weggebruiker,2,,,,,Wordt geplaatst kort na een kruising of splitsing,1500,,,Zie BRA/570 418 571 van 29/4/1968
IF06a,,begin havengebied,Aanduiding begin van een havengebied volgens Koninklijk Besluit van 2 februari 1993,2,,,1100x700,1100x700,,1500,2100,,Besluit VR 13 FEBRUARI 2015
IF06a,,Begin industriezone,Aanduiding begin van een industriezone volgens gewestplan.,2,,,,,,1500,2100,,
IF06b,,Einde havengebied,Aanduiding einde van een havengebied volgens Koninklijk Besluit van 2 februari 1993,2,,,1100x7000,1100x700,,1500,2100,,Belsuit VR 13 FEBRUARI 2015
IF06b,,Einde industriezone,Aanduiding einde van een industriezone volgens gewestplan.,2,,,,,,1500,2100,,
IF07a,,Afstand houden bij mist,Enkel op autosnelwegen,1,,,,3000x2500,,1500,2100,,Zie dienstorder MOW/AWV/2014/3
IF07b,,Afstand houden voor vrachtwagens,Enkel op autosnelwegen,1,,,,3000x2500,,1500,2100,,Zie dienstorder MOW/AWV/2014/3
IF08a,,Begin beschermingszone drinkwater,Aanduiding begin beschermingszone drinkwater volgens grondwaterdecreet,1,,,,,,1500,2100,,Overzicht drinkwatergebieden: https://dov.vlaanderen.be/dovweb/html/3waterwingebieden.html
IF08b,,Einde beschermingszone drinkwater,Aanduiding einde beschermingszone drinkwater volgens grondwaterdecreet,1,,,,,,1500,2100,,
IF09a,,Brugnummerbord,Duidt het nummer van de betreffende brug aan,1,,,,,Op de brugpijler of ter hoogte van de brug,1000,1000,,
IF09b,,Brugnummerbord,Duidt het nummer van de betreffende brug aan,1,,,,,,1000,1000,,
IF09c,,Kunstwerknummerbord,Duidt het nummer van de betreffende kunstwerk aan,1,,,,,,1000,1000,,
IF09d,,Districtsaanwijzing,Duidt de grens van 2 districten aan,1,,,,,,1000,1000,,
IF11a,,Infobord op afstand met omleidingsroutes voor transport van gevaarlijke goederen,Geeft aan over hoeveel meter je de gevolgde weg moet verlaten en de omleidingsroute moet volgen,2,,,,,,1500,2100,,Oranje omleidingsborden mogen behouden blijven tot de eerstvolgende globale vervanging. Zie Dienstorder MOW/AWV/2010/8
IF11b,,Infobord met omleidingsroutes voor transport van gevaarlijke goederen,Geeft de plaats aan waar je de weg moet verlaten en de omleidingsroute moet volgen,2,,,,,,1500,2100,,Oranje omleidingsborden mogen behouden blijven tot de eerstvolgende globale vervanging. Zie dienstorder MOW/AWV/2010/8
IF12,,Ritsen,Geeft aan over hoeveel meter wanneer wordt aangeraden te ritsen of dat je vanaf die plaats moet ritsen.,1,,,,,,1500,2100,,
IF13,,Aanduiding brandslang,,1,,,,,,1500,2100,,Voor aanduiding branblusapparaat bestaat het bord F56
IF13,,Hydrant,,2,,,225x225,225x225,,,2100,,Zie goed om weten 2013/1
IF14,,Stelt de configuratie van de weg weer,,2,,,,,,1500,2100,,Is variant van F13
IF15,,Aanduiding wegendistrict,,1,,,,,,1500,2100,,Ter hoogte van de ingang van het wegendistrict. Zie Dienstorder MOW/AWV/2014/19
IF16,,Aankondiging van een beveiligde parking voor vrachtwagens,"Om een parking aan te geven die, op een relatief korte afstand, in de omgeving gelegen is",1,400x600,,600x900,,Ter hoogte of in de onmiddellijke nabijheid van de parking,1500,2100,,
IF17,,VIA-bord,Geeft de gewenste route aan,3,,,,,,1500,2100,,Duidt enkel de gewenste uitrit aan.
