Bordcode,foto,betekenis,toepassing,folie < 2x2,afmeting uitz,afmeting beb kom,afmeting < 2x2,afmeting > 2x2,afstand,opstelhoogte normaal,opstelhoogte beb kom-parkeerplaats,opstelhoogte boven rijweg,opmerking
A01a,,Gevaarlijke bocht naar links,Slechts bij onverwacht opduikende bochten en bij bochten die gevoelige snelheidsvermindering vergen. Bochten zonder gevaar moeten niet aangeduid worden.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Afstand wordt gemeten vanaf begin bocht. Zie DO MOW/AWV 2008/16: ontwerpen en signaleren van bochten."
A01b,,Gevaarlijke bocht naar rechts,Slechts bij onverwacht opduikende bochten en bij bochten die gevoelige snelheidsvermindering vergen. Bochten zonder gevaar moeten niet aangeduid worden.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Afstand wordt gemeten vanaf begin bocht. Zie DO MOW/AWV 2008/16: ontwerpen en signaleren van bochten."
A01c,,Gevaarlijke dubbel bocht of opeenvolging van meer dan 2 bochten eerst naar links,Slechts bij onverwacht opduikende bochten en bij bochten die gevoelige snelheidsvermindering vergen. Bochten zonder gevaar moeten niet aangeduid worden.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Afstand wordt gemeten vanaf begin bocht. Zie DO MOW/AWV 2008/16: ontwerpen en signaleren van bochten."
A01d,,"Gevaarlijke dubbel bocht of opeenvolging van meer dan 2 bochten, eerst naar rechts",Slechts bij onverwacht opduikende bochten en bij bochten die gevoelige snelheidsvermindering vergen. Bochten zonder gevaar moeten niet aangeduid worden.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Afstand wordt gemeten vanaf begin bocht. Zie DO MOW/AWV 2008/16: ontwerpen en signaleren van bochten."
A03,,Gevaarlijke daling,Slechts in geval van minstens 7% daling,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A05,,Steile helling,Slechts in geval van minstens 7% helling,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A07a,,Rijbaanversmalling,"Slechts rijbaanversmalling van ten minste 1,00 m, die gevaarlijk zijn voor het verkeer. Bij een versmalling van 1 rijstrook gebruikt men bij voorkeur een F97.","3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GIX"
A07b,,Rijbaanversmalling,"Slechts rijbaanversmalling van ten minste 1,00 m, die gevaarlijk zijn voor het verkeer. Bij een versmalling van 1 rijstrook gebruikt men bij voorkeur een F97.","3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GIX"
A07c,,Rijbaanversmalling,"Slechts rijbaanversmalling van ten minste 1,00 m, die gevaarlijk zijn voor het verkeer. Bij een versmalling van 1 rijstrook gebruikt men bij voorkeur een F97.","3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GIX"
A09,,Beweegbare brug,Telkens gevaar voorkomt,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord Gia",1500,2100,,"Mogelijke onderborden: GIa, GXI"
A11,,Uitweg op een kaai of een oever,Telkens gevaar voor kanteling naar water voorkomt,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GXI"
A13,,Uitholling overdwars of ezelsrug (oneffenheid haaks op richting van verkeer),Slechts in geval van gevoelige snelheidsvermindering. Nooit plaatsen bij spoorvorming.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A14,,Verhoogde inrichting,"Moet en mag slechts geplaatst worden voor alle reglementair aangelegde verhoogde inrichtingen (volgens K.B.), niet in zone 30","3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Zie K.B. van 9 oktober 1998 en M.O. van 3 mei 2002."
A15,,Glibberige rijbaan,Enkel de plaatsen waar de rijbaan in normale omstandigheden glibberig is of door seizoensgebonden omstandigheden of in bijzondere omstandigheden vermeld op het onderbord GIII,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI, GIII (vb: ijzel, nat wegdek, …)"
A17,,Kiezelprojectie,Waar gevaar is voor opspringende steentjes of kiezel,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A19,,Vallende stenen,Waar gevaar is voor vallende stenen,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A21,,Oversteekplaats voor voetgangers,Verplicht waar snelheid hoger ligt dan 70 km/u. Niet wanneer A23 geplaatst is of aan driekleurige verkeerslichten.,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A23,,Plaats waar speciaal veel kinderen komen,Verplicht bij nadering van scholen en speelpleinen waar speciaal veel kinderen komen. Bij schoolomgevingen in combinatie met F4a zonder onderborden.,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A25,,Oversteekplaats voor fietsers en bestuurders van tweewielige bromfietsen en/of plaats waar die bestuurders van een fietspad op de rijbaan komen,Op plaatsen buiten kruispunten waar fietsers en bromfietsers verplicht zijn het fietspad te verlaten en voor fietsoversteekplaatsen buiten de bebouwde kom en die niet bestemd zijn voor het oversteken van een kruispunt,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A27,,Doortocht van groot wild,"Slechts op de rijbaanvakken waar regelmatig groot wild (herten, reebokken, everzwijnen) oversteekt","3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A29,,Doortocht van vee,Waar regelmatig vee de rijbaan oversteekt,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A31,,Werken,Bij uitvoering van werken volgens M.B. van 7 mei 1999 betreffende signaleren van werken en verkeersbelemmeringen op de openbare weg,"3.a, 3.b",400,700,900,1100,"150m, 400m op A-wegen met onderbord Gia",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI. Zie M.B. 7/5/1999"
A33,,Verkeerslichten,Verplicht buiten bebouwde kom waar driekleurige verkeerslichten niet kunnen gezien worden vanaf ± 150 m. Uitzonderlijk waar ze wel kunnen gezien worden vanop meer dan 150m,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A35,,Overtocht van vliegtuigen op geringe hoogte,"In omgeving van vliegveld of luchthaven. Verplicht wanneer vliegtuigen in scheervlucht overvliegen. Dan ook knipperlicht bij A35, verkeerslichten en E03 in gevaarszone","3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A37,,Zijwind,Verplicht op rijbaanvakken waarop dikwijls een sterke zijwind waait en waar een windzak is opgesteld.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A39,,Verkeer toegelaten in beide richtingen na een gedeelte van de rijbaan met één richtingsverkeer,Verplicht elk rijbaanvak dat normaal bestemd is voor éénrichtingsverkeer wanneer die rijbaan er tijdelijk opengesteld is voor verkeer in dubbele richting (in dit geval onderbord type II met aanduiding van de lengte van het vak),"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A41,,Overweg met slagbomen,Verplicht bij openbare overwegen met volledige of gedeeltelijke slagbomen.,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A43,,Overweg zonder slagbomen.,Verplicht bij overwegen zonder slagbomen.,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden:GIa, GII, GXI"
A45,,Overweg voor enkel spoor,Aan of in de onmiddellijke nabijheid van de overweg door de exploitant van de spoorweg,nvt,,,,,,,,,Alle opstellingen gelegen tussen deze verkeersborden zijn in het beheer van de spoorwegexploitant. Steeds met vooraankondiging van A41 of A43. Zie K.B. 11/7/2011
A47,,Overweg voor 2 of meer sporen,Aan of in de onmiddellijke nabijheid van de overweg door de exploitant van de spoorweg,nvt,,,,,,,,,Alle opstellingen gelegen tussen deze verkeersborden zijn in het beheer van de spoorwegexploitant. Steeds met vooraankondiging van A41 of A43. Zie K.B. 11/7/2011
A49,,Kruising van een openbare weg door een of meer in de rijbaan aangelegde sporen,Aan elke kruising,"3.a, 3.b",400,700,900,1100,150m,1500,2100,,"Mogelijke onderborden: GIa, GII, GXI"
A51,,Gevaar dat niet door een speciaal symbool wordt bepaald. Een verplicht onderbord duidt de aard van het gevaar aan,Slechts wanneer geen ander gevaarsbord kan gebruikt worden. Er moet steeds een onderbord GIII de aard van het gevaar aanduiden.,"3.a, 3.b",400,700,900,1100,"150m, 300m op A-wegen met onderbord GIa",1500,2100,,"Mogelijke onderborden: GIa, GII, GIII, GXI"
