b;h;Suggereren 1500;andere opties 1500;Suggereren 2100;andere opties 2100;Tussenafstand 2;Tussenafstand 3
100;400;1;;1;;;
130;820;0;0;0;0;;
150;200;1;;1;;;
160;800;1;;1;;;
190;730;0;0;0;0;;
225;225;1;;1;;;
300;450;1;;1;;;
300;1100;1;;1;;;
350;1900;0;0;0;0;;
400;200;1;;1;;;
400;300;1;;1;;;
400;400;1;;1;;;
400;600;1;;1;;;
400;900;1;;1;;;
450;200;1;;1;;;
450;300;1;;1;;;
500;1100;0;0;0;0;;
500;1500;0;0;0;0;;
600;300;1;;1;;;
600;400;1;;1;;;
600;900;1;;1;;;
600;1100;1;;1;;;
700;200;1;;1;;;
700;400;1;2;1;2;560;
700;700;1;2;1;2;560;
700;900;1;2;1;2;560;
700;1100;1;2;1;2;560;
700;1300;1;2;1;2;560;
750;500;1;2;1;2;560;
800;300;1;2;1;2;560;
800;400;1;2;1;2;560;
850;200;2;1;2;1;560;
900;150;1;;1;;;
900;200;1;2;1;2;;
900;250;1;2;1;2;560;
900;300;1;2;1;2;560;
900;600;1;2;1;2;560;
900;700;1;2;1;2;560;
900;900;1;2;1;2;560;
900;1100;1;2;1;2;560;
900;1300;1;2;1;2;560;
900;1500;1;2;1;2;560;
900;1700;1;2;1;2;560;
900;1900;1;2;1;2;560;
1000;200;2;1;2;1;560;
1000;500;1;2;1;2;560;
1100;200;1;2;1;2;860;
1100;300;1;2;1;2;860;
1100;400;2;1;2;1;860;
1100;600;2;1;2;1;860;
1100;700;2;1;2;1;860;
1100;900;2;1;2;1;860;
1100;1100;2;1;2;1;860;
1100;1300;2;1;2;1;860;
1100;1500;2;1;2;1;860;
1100;1700;2;1;2;1;860;
1100;1900;2;1;2;1;860;
1150;200;2;1;2;1;560;
1200;150;2;1;2;1;860;
1200;250;2;1;2;1;860;
1200;400;2;1;2;1;860;
1200;1800;2;1;2;1;860;
1250;200;2;1;2;1;860;
1250;300;2;1;2;1;860;
1250;1250;2;1;2;1;860;
1250;1500;2;1;2;1;860;
1250;1750;2;1;2;1;860;
1250;2000;2;1;2;1;860;
1250;2250;2;1;2;1;860;
1250;2500;2;1;2;1;860;
1250;2750;2;1;2;1;860;
1250;3000;2;1;2;1;860;
1250;3500;2;1;2;1;860;
1250;4000;2;1;2;1;860;
1300;180;2;1;2;1;860;
1300;200;2;1;2;1;560;
1300;300;2;1;2;1;860;
1300;600;2;1;2;1;860;
1300;700;2;1;2;1;860;
1300;900;2;1;2;1;860;
1300;1100;2;1;2;1;860;
1300;1300;2;1;2;1;860;
1300;1500;2;1;2;1;860;
1300;1700;2;1;2;1;860;
1300;1900;2;1;2;1;860;
