Bord;Categorie;OpstelHoogte;FolieType;OudBord;Selectie1;Selectie2;Selectie3;Selectie4;Selectie5;Selectie6;Selectie7;Selectie8;Selectie9;Label1;Label2;Label3;Label4;Label5;Label6;Label7;Label8;Label9;Dep1;Dep2;Dep3;Dep4;Dep5;Dep6;Dep7;Dep8;Dep9;Vorm;SVG;Prop;Generator;GrayImage;Validatie1;Validatie2;Validatie3;Validatie4;Validatie5;Validatie6;Validatie7;Validatie8;Validatie9;ValidatieText1;ValidatieText2;ValidatieText3;ValidatieText4;ValidatieText5;ValidatieText6;ValidatieText7;ValidatieText8;ValidatieText9;OpZoneBord;SVGAlsBord
A11;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A11;;;;;;;;;;;;;;;;;;;;;;;
A13;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A13;;;;;;;;;;;;;;;;;;;;;;;
A14;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A14;;;;;;;;;;;;;;;;;;;;;;;
A15;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A15;;;;;;;;;;;;;;;;;;;;;;;
A17;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A17;;;;;;;;;;;;;;;;;;;;;;;
A19;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A19;;;;;;;;;;;;;;;;;;;;;;;
A1a;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A1a;;;;;;;;;;;;;;;;;;;;;;;
A1b;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A1b;;;;;;;;;;;;;;;;;;;;;;;
A1c;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A1c;;;;;;;;;;;;;;;;;;;;;;;
A1d;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A1d;;;;;;;;;;;;;;;;;;;;;;;
A21;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A21;;;;;;;;;;;;;;;;;;;;;;;
A23;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A23;;;;;;;;;;;;;;;;;;;;;;;
A25;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A25;;;;;;;;;;;;;;;;;;;;;;;
A27;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A27;;;;;;;;;;;;;;;;;;;;;;;
A29;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A29;;;;;;;;;;;;;;;;;;;;;;;
A3;A;1500;3;;700, 900, 1100;decimal;;;;;;;;Afmetingen;Hellingsgraad;;;;;;;;;;;;;;;;;dh;A3;A3;;;;;;;;;;;;;;;;;;;;;;
A31;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A31;;;;;;;;;;;;;;;;;;;;;;;
A33;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A33;;;;;;;;;;;;;;;;;;;;;;;
A35;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A35;;;;;;;;;;;;;;;;;;;;;;;
A37;A;1500;3;;700, 900, 1100;;;;;;;;;Afmetingen;;;;;;;;;;;;;;;;;;dh;A37;;;;;;;;;;;;;;;;;;;;;;;
