symbool;naam;bestand
sy-S10;Politie;S10.svg
sy-S114;Parking;S114.svg
sy-S117;Restaurant;S117.svg
sy-S11;Brandweer;S11.svg
sy-S120;Hotel of motel;S120.svg
sy-S123;Info;S123.svg
sy-S126;Caravanterrein;S126.svg
sy-S127;Kampeerterrein;S127.svg
sy-S128;Jeugdherberg;S128.svg
sy-S12;Civiele bescherming;S12.svg
sy-S131;Waterloop;S131.svg
sy-S13;Begraafplaats;S13.svg
sy-S148;Rijwiel;S148.svg
sy-S14;Busstation;S14.svg
sy-S151;Ruiter;S151.svg
sy-S153;Voetganger;S153.svg
sy-S15;Treinstation;S15.svg
sy-S163;Verpleeginrichting;S163.svg
sy-S16;Wegstation;S16.svg
sy-S176;Hulppost;S176.svg
sy-S17;Stad- of gemeentehuis;S17.svg
sy-S187;Telefoon;S187.svg
sy-S18;Plaats voor eredienst;S18.svg
sy-S19;Gerechtsgebouw;S19.svg
sy-S1;Luchthaven;S1.svg
sy-S20;Auto-slaaptrein;S20.svg
sy-S21;Postkantoor;S21.svg
sy-S2;Beurs- of tentoonstellingshal;S2.svg
sy-S30;Sportcentrum, stadion;S30.svg
sy-S31;Kasteel;S31.svg
sy-S33;Klooster, abdij;S33.svg
sy-S34;Recreatie- of pretpark;S34.svg
sy-S35.2;Waterloo;S35 (2).svg
sy-S35;Atomium;S35.svg
sy-S36;Natuurpark;S36.svg
sy-S3;Haven;S3.svg
sy-S4;Car-Ferry;S4.svg
sy-S5;Bedrijf en Industriepark;S5.svg
sy-S32;Ruïne;S32.svg
sy-S30.1;Roeien;S30-1.svg
sy-S30.2;Automobielomloop;S30-2.svg
sy-S30.3;Kano-Kayak;S30-3.svg
sy-S30.4;Wielersport;S30-4.svg
sy-S30.5;Golf;S30-5.svg
sy-S30.6;Hockey;S30-6.svg
sy-S30.7;Ijsschaatsbaan;S30-7.svg
sy-S30.8;Zwembad;S30-8.svg
sy-S30.9;Alpijns ski;S30-9.svg
sy-S30.10;Langlauf;S30-10.svg
sy-S30.11;Waterski;S30-11.svg
sy-S30.12;Ruitersport;S30-12.svg
sy-S30.13;Voetbalstadion;S30-13.svg
sy-S30.14;Tennis;S30-14.svg
sy-S30.15;Schietstand;S30-15.svg
sy-S30.16;Zeilen;S30-16.svg
