maatregel_id,"maatregel_naam","instructie","aanvullende_instructie","verkeersbord_code","wegcode_tekst"
a506ba60-98e1-11e0-a970-00216a82c36c,"61",de bestuurders moeten de lichten van de  driekleurige verkeerslichten opvolgen,,"61",driekleurige verkeerslichten
a50b9c60-98e1-11e0-a970-00216a82c36c,"61/76.1",de bestuurders moeten de lichten van de  driekleurige verkeerslichten opvolgen,,"61",driekleurige verkeerslichten
a50b9c60-98e1-11e0-a970-00216a82c36c,"61/76.1",de plaats waar de bestuurders moeten stoppen ingevolge ${stop_verkeersteken} wordt aangeduid,,"76.1",stopstreep
a517f870-98e1-11e0-a970-00216a82c36c,"62","de bestuurders dienen het kruispunt te ontruimen. Het tegenliggend verkeer op de rijbaan die de bestuurders bij het links afslaan gaan verlaten, wordt tegengehouden door een rood licht",,"62",ontruimingspijl op een kruispunt
a51b7ae0-98e1-11e0-a970-00216a82c36c,"62bis","de bestuurders moeten de rijstrook zo vlug mogelijk verlaten in de richting door de pijl aangewezen. Het aantal rijstroken die in de gevolgde rijrichting mogen gebruikt worden, zal verminderen",,"62bis",ontruimingspijl boven een rijstrook
a51f7280-98e1-11e0-a970-00216a82c36c,"62ter",de bestuurders van voertuigen van geregelde diensten voor gemeenschappelijk vervoer moeten de lichten van de bijzondere verkeerslichten voor het regelen van het verkeer van voertuigen van geregelde diensten voor gemeenschappelijk vervoer opvolgen,,"62ter",bijzondere verkeerslichten voor het regelen van verkeer van voertuigen van geregelde diensten voor gemeenschappelijk vervoer
a50fbb10-98e1-11e0-a970-00216a82c36c,"63.1",de voetgangers moeten de lichten van de tweekleurige voetgangerslichten opvolgen,,"63.1",voetgangerslicht
a5149d10-98e1-11e0-a970-00216a82c36c,"63.2",de bestuurders moeten de lichten van de tweekleurige verkeerslichten opvolgen die boven de rijstroken naar hen gericht zijn,,"63.2",tweekleurige verkeerslichten boven de rijstroken
dd2dba60-98e1-11e0-a970-00216a82c36c,"72.2","het is iedere bestuurder verboden de doorlopende streep te overschrijden, alsook links van de streep te rijden wanneer deze de twee rijrichtingen scheidt",,"72.2",doorlopende streep
dd2fdd40-98e1-11e0-a970-00216a82c36c,"72.3","het  is iedere bestuurder verboden de onderbroken streep te overschrijden, behalve om in te halen, om links af te slaan, om te keren of om van rijstrook te veranderen",,"72.3",onderbroken streep
"5f5077d0-8ff7-11e3-aa85-0022647c6f3a","72.3/72.2","het is iedere bestuurder verboden de doorlopende streep te overschrijden, alsook links van de streep te rijden wanneer deze de twee rijrichtingen scheidt",,"72.2",doorlopende streep
"5f5077d0-8ff7-11e3-aa85-0022647c6f3a","72.3/72.2","het is iedere bestuurder verboden de onderbroken streep die het naderen van de doorlopende streep aankondigt te overschrijden, behalve om in te halen, om links af te slaan, om te keren of om van rijstrook te veranderen",,"72.3",onderbroken streep
dd3163e2-98e1-11e0-a970-00216a82c36c,"72.4",het is verboden voor bestuurders om de naast elkaar getrokken doorlopende en onderbroken streep te overschrijden afhankelijk van de streep  die zich aan hun kant bevindt,,"72.4",doorlopende + onderbroken streep
