input_code,our_code,uri,type
61,VL61.1,http://data.vlaanderen.be/id/concept/Verkeerslichtconcept/45c13c91557317dd6b7b2b37023a3825,https://data.vlaanderen.be/ns/mobiliteit#Verkeerslichtconcept
76.1,WM76.1,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/202b9afdd4724ae01517ab7585e18953,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
62,VL62,http://data.vlaanderen.be/id/concept/Verkeerslichtconcept/f6202432ede2ff8b5d6038455776eb0d,https://data.vlaanderen.be/ns/mobiliteit#Verkeerslichtconcept
62bis,VL62bis,http://data.vlaanderen.be/id/concept/Verkeerslichtconcept/9c78205e98520de0e6d683e97179ba57,https://data.vlaanderen.be/ns/mobiliteit#Verkeerslichtconcept
62ter,VL62ter,http://data.vlaanderen.be/id/concept/Verkeerslichtconcept/ae0b8b2540921e82de0df629ec17622c,https://data.vlaanderen.be/ns/mobiliteit#Verkeerslichtconcept
63.1,VL63.1,http://data.vlaanderen.be/id/concept/Verkeerslichtconcept/00fb203200e318350886c833f6c98517,https://data.vlaanderen.be/ns/mobiliteit#Verkeerslichtconcept
63.2,,,
72.2,WM72.2,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/bec46e9faa5af0b8da32e4f2d45df471,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
72.3,WM72.3,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/781fcd2bf57c055cbfe5bcca20c59844,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
72.4,WM72.4,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/1b97495ca8acf94c3927ec1abf0153b6,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
72.5,WM72.5,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/2459b5097db8d047623e0cb56f379b0e,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
F17,F17l,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/3674525b2c0a5d3fa43dcfe11525588b1391b809668234599144a9bfb2e45ea2,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
72.6,WM72.6,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/dd1cc83a59b31d835a0fb0dfcd791351,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
F18,F18,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/4bab5d3b6d4cdfa0d66dcc14ee7107275e2e71e14aa7940e51bc3e94d804c993,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
74,WM74,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/10b4bd00273285dfb7c8875d0793ab4f,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
75.1.2,WM75.1.2,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/15e6f7af9ba7162faff36112f2d3f10a,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
75.2,WM75.2,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/9179cde8679045eede189507de51789a,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
76.3,WM76.3,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/34b31ed053d2b54d905867eddeeb7bcf,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
76.4,WM76.4,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/3643bf425d87dd787415022f5334b8f7,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
77.1,WM77.1,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/e735019fc999d0180cdb4afb2ea6b75a,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
77.4,WM77.4,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/6e4088cc35ae34f65b8a1ba4350ce26e,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
77.5,WM77.5,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/a478a6e52ee388590b5c46fcf84bb4d0,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
77.7,,,
77.8,WM77.8,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/68decc688d862a9ff700c181b67b6bb4,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
B1,B1,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/e076d4553d8995d0739ad74dc30dbb5cf4095b6c0a9e9a68503e7a7da03f3b9e,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
B13,,,
B15,B15,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/f46c41dce095d2e07a36a8e764c22834eebcc9283c48c36171e3a4ee483ca5ba,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
Type VIII,GVIII,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/57fdbb852e7bdcb6450e61b8d6b837930a26881c6709e2e456c3544d5cb465c9,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
76.2,WM76.2,http://data.vlaanderen.be/id/concept/Wegmarkeringsconcept/053e2451065c5bd0946740fe662c2612,https://data.vlaanderen.be/ns/mobiliteit#Wegmarkeringconcept
B9,B9,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/439b3909b6eae9c6a87120b407e1bdcc0245cda415266347b1f4b930f3573535,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
B11,B11,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/e84d5732cf1299f012da33d3f8d76b0dfb7213ae86f0ed0fe76044f7f900424f,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
B19,B19,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/64d0148e08734e74f31a183130ab616a3fdb25ab8bd1c60a9cbb6b918908b244,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
B21,B21,http://data.vlaanderen.be/id/concept/Verkeersbordconcept/00939dd22288b0ef321908552d49f97c6e77e53de6e14b303f32c9a499839557,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbordconcept
